,tmp0,tmp1,hPa,hum,pp
48,36.92,32.99,919.0,0.97,277.0
49,16.96,21.33,1066.0,0.71,0.0
50,14.62,15.27,1005.0,0.57,0.0
51,10.13,8.99,1067.0,0.99,659.0
52,1.23,1.38,989.0,0.03,0.0
53,44.88,31.81,1090.0,0.17,0.0
54,27.28,27.68,953.0,0.87,0.0
55,1.61,2.0,1107.0,0.36,0.0
56,29.35,32.1,1041.0,0.19,0.0
57,34.14,24.52,999.0,0.57,0.0
58,39.87,48.94,950.0,0.15,0.0
59,18.1,15.92,994.0,0.01,0.0
60,18.24,23.19,1080.0,0.97,0.0
61,2.38,1.99,918.0,0.97,3709.0
62,1.71,2.18,1062.0,0.04,0.0
63,23.41,27.76,933.0,0.53,0.0
64,8.69,7.06,1013.0,0.49,0.0
65,9.59,7.81,981.0,0.48,0.0
66,6.1,5.61,1078.0,0.0,0.0
67,23.28,21.17,1087.0,0.98,3918.0
68,19.38,19.1,947.0,0.67,0.0
69,11.84,11.59,1080.0,0.53,0.0
70,25.16,30.55,1079.0,0.2,0.0
71,22.64,16.97,965.0,0.21,0.0
72,28.28,25.47,1014.0,0.69,0.0
73,42.53,46.57,990.0,0.14,0.0
74,14.67,13.99,979.0,0.82,0.0
75,32.61,39.21,1079.0,0.84,0.0
76,41.37,49.78,924.0,0.58,0.0
77,34.86,25.16,953.0,0.21,0.0
78,14.74,14.75,979.0,0.41,0.0
79,19.98,19.19,999.0,0.93,1702.0
80,42.54,51.89,1013.0,0.36,0.0
81,7.6,6.14,914.0,0.78,0.0
82,3.09,3.96,994.0,0.44,0.0
83,44.67,45.27,936.0,0.75,0.0
84,17.55,16.94,933.0,0.66,0.0
85,44.09,41.72,1093.0,0.82,0.0
86,35.18,29.33,1069.0,0.16,0.0
87,44.05,38.8,1113.0,0.78,0.0
88,35.41,37.94,1020.0,0.21,0.0
89,37.5,33.99,1057.0,0.17,0.0
90,31.39,40.47,1105.0,0.98,0.0
91,22.69,23.84,1068.0,0.86,0.0
92,21.93,22.8,972.0,0.64,0.0
93,16.01,16.59,966.0,0.88,0.0
94,26.73,18.9,938.0,0.3,0.0
95,15.59,12.11,975.0,0.21,0.0
96,17.95,22.0,1073.0,0.94,0.0
97,27.56,21.5,928.0,0.07,0.0
98,15.82,12.07,1067.0,0.45,0.0
99,24.78,21.74,1017.0,0.64,0.0
100,9.94,7.5,950.0,0.14,0.0
101,19.19,18.62,1053.0,0.63,0.0
102,3.91,4.44,1014.0,0.1,0.0
103,10.13,8.6,1111.0,0.35,0.0
104,8.23,10.0,958.0,0.86,0.0
105,23.76,24.25,920.0,0.26,0.0
106,36.73,43.82,1014.0,0.21,0.0
107,26.24,22.34,1063.0,0.4,0.0
108,15.01,17.47,953.0,0.85,0.0
109,42.82,30.43,1073.0,0.86,1670.0
110,45.5,53.3,945.0,0.08,0.0
111,0.32,0.32,925.0,0.81,0.0
112,18.42,15.88,1008.0,0.5,0.0
113,25.65,28.8,964.0,0.14,0.0
114,31.56,36.49,1074.0,0.54,0.0
115,32.81,27.53,956.0,0.29,0.0
116,17.13,13.95,1093.0,0.79,0.0
117,34.15,24.02,958.0,0.95,563.0
118,9.83,12.31,1010.0,0.85,0.0
119,24.71,19.24,939.0,0.92,2789.0
120,35.25,24.98,956.0,0.66,0.0
121,31.03,28.04,1073.0,0.17,0.0
122,15.72,16.35,1002.0,0.42,0.0
123,2.14,2.24,954.0,0.67,0.0
124,25.87,25.75,944.0,0.84,0.0
125,34.11,35.65,1103.0,0.34,0.0
126,12.53,15.8,957.0,0.81,0.0
127,42.03,48.33,984.0,0.9,0.0
128,26.22,18.41,958.0,0.62,0.0
129,1.58,1.89,1072.0,0.29,0.0
130,35.62,43.85,925.0,0.24,0.0
131,13.85,15.39,967.0,0.4,0.0
132,21.36,20.06,997.0,0.26,0.0
133,21.73,17.89,1060.0,0.25,0.0
134,33.8,41.94,1070.0,0.15,0.0
135,3.17,2.31,943.0,0.14,0.0
136,6.7,7.43,977.0,0.52,0.0
137,26.26,29.08,1054.0,0.01,0.0
138,25.73,26.98,1006.0,0.8,0.0
139,27.97,25.14,976.0,0.84,0.0
140,15.08,15.13,976.0,0.49,0.0
141,6.27,7.75,949.0,0.53,0.0
142,5.93,7.19,1034.0,0.65,0.0
143,25.61,32.66,959.0,0.19,0.0
144,8.06,6.56,1064.0,0.68,0.0
145,35.24,39.89,1080.0,0.68,0.0
146,28.36,21.51,1045.0,0.42,0.0
147,12.93,13.93,994.0,0.16,0.0
148,16.0,11.56,1064.0,0.66,0.0
149,3.07,3.23,1025.0,0.59,0.0
150,33.01,33.05,1105.0,0.36,0.0
151,21.16,18.7,1038.0,0.11,0.0
152,41.96,44.89,955.0,0.36,0.0
153,45.49,58.3,966.0,0.1,0.0
154,13.37,10.75,928.0,0.64,0.0
155,24.88,19.46,1068.0,0.89,3648.0
156,44.48,33.9,1108.0,0.44,0.0
157,20.91,17.63,991.0,0.85,1580.0
158,1.52,1.24,925.0,0.22,0.0
159,42.29,35.3,1051.0,0.92,1971.0
160,5.8,4.68,1051.0,0.83,0.0
161,28.11,20.65,969.0,0.97,3764.0
162,29.22,23.85,945.0,0.29,0.0
163,34.6,42.97,1010.0,0.47,0.0
164,25.67,31.67,1113.0,0.97,0.0
165,10.7,10.19,959.0,0.16,0.0
166,10.05,10.51,973.0,0.69,0.0
167,37.27,47.25,982.0,0.47,0.0
168,4.34,3.87,944.0,0.93,2957.0
169,35.4,41.58,1034.0,0.45,0.0
170,14.42,16.28,1085.0,0.07,0.0
171,0.23,0.21,1104.0,0.07,0.0
172,10.28,10.54,929.0,0.81,0.0
173,22.21,24.76,1102.0,0.91,0.0
174,19.45,21.08,997.0,0.4,0.0
175,34.84,25.13,1040.0,0.26,0.0
176,0.5,0.63,936.0,0.46,0.0
177,40.34,28.41,916.0,0.91,3433.0
178,32.07,24.04,973.0,0.49,0.0
179,7.2,7.52,931.0,0.76,0.0
180,33.55,23.91,959.0,0.43,0.0
181,27.64,31.37,963.0,0.96,0.0
182,37.85,47.95,1008.0,0.89,0.0
183,44.63,57.32,986.0,0.54,0.0
184,28.65,25.3,1077.0,0.8,0.0
185,27.67,24.21,1039.0,0.84,3295.0
186,41.23,41.93,984.0,0.37,0.0
187,38.5,45.14,989.0,0.56,0.0
188,7.91,8.52,920.0,0.69,0.0
189,29.31,35.48,957.0,0.76,0.0
190,31.72,27.22,992.0,0.28,0.0
191,38.88,41.3,1004.0,0.18,0.0
192,20.5,23.66,1103.0,0.46,0.0
193,25.46,28.01,983.0,0.21,0.0
194,13.88,14.01,1042.0,0.3,0.0
195,26.24,25.51,934.0,0.39,0.0
196,44.03,33.33,1012.0,0.88,3996.0
197,10.6,10.9,987.0,0.01,0.0
198,17.72,21.97,1068.0,0.13,0.0
199,34.53,41.88,937.0,0.41,0.0
200,15.4,17.54,968.0,0.5,0.0
201,0.04,0.03,963.0,0.99,247.0
202,27.53,22.85,1033.0,0.95,1172.0
203,36.46,27.94,1012.0,0.07,0.0
204,44.6,32.01,990.0,0.11,0.0
205,5.29,4.6,1095.0,0.5,0.0
206,31.85,39.94,1083.0,0.11,0.0
207,3.01,2.6,1048.0,0.01,0.0
208,6.18,4.74,925.0,0.21,0.0
209,8.09,7.54,986.0,0.36,0.0
210,40.47,33.78,1086.0,0.09,0.0
211,35.9,31.92,977.0,0.57,0.0
212,44.94,45.32,937.0,0.59,0.0
213,33.63,35.95,1017.0,0.61,0.0
214,0.23,0.26,975.0,0.84,0.0
215,19.91,21.19,1094.0,0.06,0.0
216,40.37,29.82,1003.0,0.07,0.0
217,8.03,6.84,1073.0,0.03,0.0
218,39.4,35.25,1012.0,0.47,0.0
219,29.91,31.23,984.0,0.31,0.0
220,12.86,16.33,941.0,0.83,0.0
221,15.96,16.02,967.0,0.83,0.0
222,37.91,37.76,1086.0,0.78,0.0
223,21.09,15.98,1094.0,0.09,0.0
224,31.26,35.45,913.0,0.24,0.0
225,2.59,2.54,984.0,0.47,0.0
226,38.69,46.87,1109.0,0.11,0.0
227,19.42,14.47,1075.0,0.63,0.0
228,19.37,16.68,1031.0,0.55,0.0
229,18.76,19.48,925.0,0.43,0.0
230,22.3,24.93,1040.0,0.65,0.0
231,22.42,27.91,914.0,0.21,0.0
232,15.05,16.62,1002.0,0.78,0.0
233,9.7,11.13,1080.0,0.33,0.0
234,41.17,44.15,1097.0,0.12,0.0
235,33.17,38.33,1083.0,0.97,0.0
236,20.22,25.28,921.0,0.65,0.0
237,27.1,30.56,1028.0,0.5,0.0
238,42.82,47.9,978.0,0.73,0.0
239,29.04,27.53,953.0,0.24,0.0
240,37.83,47.22,1024.0,0.32,0.0
241,5.2,6.41,921.0,0.22,0.0
242,29.43,24.73,1090.0,0.98,1044.0
243,3.53,3.87,952.0,0.98,92.0
244,31.59,33.06,980.0,0.47,0.0
245,22.2,25.03,1028.0,0.24,0.0
246,38.22,46.57,991.0,0.93,0.0
247,41.61,42.72,930.0,0.06,0.0
248,15.51,18.42,913.0,0.61,0.0
249,19.32,19.04,1047.0,0.11,0.0
250,26.41,29.17,981.0,0.3,0.0
251,37.82,41.16,1056.0,0.92,0.0
252,18.91,15.87,1044.0,0.28,0.0
253,8.9,10.7,1029.0,0.47,0.0
254,29.1,20.7,1081.0,0.02,0.0
255,32.39,28.46,918.0,0.03,0.0
256,29.41,27.8,943.0,0.68,0.0
257,3.31,2.4,1085.0,0.64,0.0
258,6.54,6.81,1106.0,0.47,0.0
259,44.86,39.08,985.0,0.47,0.0
260,29.38,27.67,1013.0,0.18,0.0
261,16.0,16.43,987.0,0.44,0.0
262,23.11,17.55,1039.0,0.92,3444.0
263,22.02,23.68,960.0,0.48,0.0
264,33.4,41.78,916.0,0.75,0.0
265,17.65,17.04,1077.0,0.15,0.0
266,39.47,28.36,924.0,0.91,1282.0
267,10.14,12.17,1069.0,0.55,0.0
268,31.75,35.59,998.0,0.54,0.0
269,4.16,3.63,966.0,0.33,0.0
270,7.96,8.44,960.0,0.82,0.0
271,27.07,28.99,1062.0,0.72,0.0
272,33.39,41.77,1044.0,0.64,0.0
273,10.82,10.36,995.0,0.23,0.0
274,34.91,25.34,913.0,0.86,162.0
275,10.75,11.25,1022.0,0.14,0.0
276,13.52,12.28,1105.0,0.11,0.0
277,35.21,26.3,969.0,0.12,0.0
278,39.71,50.72,947.0,0.2,0.0
279,28.63,27.6,1032.0,0.75,0.0
280,2.8,2.03,992.0,0.24,0.0
281,19.72,19.44,1083.0,0.41,0.0
282,28.13,28.56,923.0,0.39,0.0
283,34.27,31.29,1057.0,0.18,0.0
284,14.97,14.08,1086.0,0.1,0.0
285,4.53,5.07,1041.0,0.64,0.0
286,36.53,28.91,969.0,0.09,0.0
287,34.34,36.81,965.0,0.03,0.0
288,36.89,31.46,1091.0,0.36,0.0
289,10.07,8.63,1112.0,0.7,0.0
290,36.51,46.03,1037.0,0.51,0.0
291,17.35,14.53,982.0,0.37,0.0
292,23.74,24.92,970.0,0.37,0.0
293,28.5,23.91,946.0,0.34,0.0
294,7.56,6.79,1080.0,0.17,0.0
295,5.15,5.46,965.0,0.94,2714.0
296,34.95,37.48,942.0,0.6,0.0
297,39.03,30.46,962.0,0.86,137.0
298,19.99,23.39,967.0,0.63,0.0
299,5.05,5.53,913.0,0.15,0.0
300,24.62,19.63,975.0,0.71,0.0
301,27.53,19.85,1008.0,0.93,3294.0
302,43.41,39.05,929.0,0.2,0.0
303,5.73,7.03,1077.0,0.7,0.0
304,31.15,32.11,934.0,0.78,0.0
305,23.11,18.62,1006.0,0.24,0.0
306,32.21,31.31,1110.0,0.27,0.0
307,42.92,39.71,1014.0,0.28,0.0
308,2.44,1.95,1028.0,0.08,0.0
309,2.41,2.96,1057.0,0.29,0.0
310,8.42,6.79,1060.0,0.73,0.0
311,1.21,1.29,1027.0,0.09,0.0
312,29.7,37.73,1007.0,0.35,0.0
313,8.87,10.23,999.0,0.36,0.0
314,3.19,3.24,1015.0,0.35,0.0
315,14.83,15.06,1016.0,0.93,2858.0
316,0.01,0.01,920.0,0.75,0.0
317,16.89,13.14,959.0,0.21,0.0
318,9.84,7.75,1086.0,0.57,0.0
319,29.16,26.85,942.0,0.77,0.0
320,26.16,26.24,913.0,0.37,0.0
321,3.14,2.38,1027.0,0.98,1933.0
322,2.18,2.82,939.0,0.83,0.0
323,13.47,14.3,1099.0,0.47,0.0
324,42.8,52.11,1014.0,0.26,0.0
325,25.71,19.14,986.0,0.64,0.0
326,37.19,31.72,1045.0,0.47,0.0
327,24.26,24.68,1094.0,0.48,0.0
328,19.99,22.72,1049.0,0.31,0.0
329,33.33,28.65,1057.0,0.63,0.0
330,32.25,23.6,1096.0,0.96,3207.0
331,33.36,43.1,998.0,0.1,0.0
332,12.2,11.55,1028.0,0.67,0.0
333,14.5,16.61,1025.0,0.72,0.0
334,18.17,22.23,1102.0,0.06,0.0
335,38.17,48.29,1089.0,0.81,0.0
336,32.4,29.2,960.0,0.58,0.0
337,41.85,32.91,987.0,0.97,265.0
338,4.69,6.07,1088.0,0.71,0.0
339,27.97,27.05,1101.0,0.13,0.0
340,30.76,37.81,959.0,0.44,0.0
341,7.03,8.26,1018.0,0.25,0.0
342,23.82,30.49,1055.0,0.42,0.0
343,20.95,18.49,1107.0,0.81,0.0
344,39.94,47.77,912.0,0.28,0.0
345,9.07,9.98,924.0,0.16,0.0
346,4.09,4.56,1010.0,0.46,0.0
347,28.66,36.41,968.0,0.14,0.0
348,38.09,27.82,952.0,0.21,0.0
349,15.74,18.96,1097.0,0.29,0.0
350,12.95,11.11,1049.0,0.89,2503.0
351,39.71,44.63,1103.0,0.0,0.0
352,4.12,3.9,1015.0,0.75,0.0
353,44.76,45.01,956.0,0.87,0.0
354,8.08,9.8,1014.0,0.83,0.0
355,25.3,17.79,990.0,0.43,0.0
356,7.5,6.05,944.0,0.72,0.0
357,6.68,7.84,1041.0,0.02,0.0
358,15.5,18.17,1033.0,1.0,533.0
359,9.57,8.48,1051.0,0.23,0.0
360,39.35,46.33,958.0,0.62,0.0
361,25.11,26.24,1068.0,0.87,0.0
362,44.71,36.74,1020.0,0.8,544.0
363,5.46,5.57,934.0,0.94,2637.0
364,32.55,23.57,1037.0,0.61,0.0
365,35.38,25.64,1113.0,0.96,1141.0
366,9.07,7.39,1057.0,0.31,0.0
367,15.73,13.71,1051.0,0.72,0.0
368,8.38,10.57,969.0,0.18,0.0
369,20.68,17.04,1020.0,0.31,0.0
370,22.29,18.12,1050.0,0.58,0.0
371,26.88,27.96,950.0,0.29,0.0
372,9.39,11.64,929.0,0.99,3507.0
373,43.28,44.42,1112.0,0.58,0.0
374,16.53,18.25,1051.0,0.15,0.0
375,29.73,27.67,938.0,0.69,0.0
376,14.45,13.71,1020.0,0.28,0.0
377,1.24,1.2,1069.0,0.08,0.0
378,28.14,27.91,1053.0,0.25,0.0
379,37.11,46.46,1073.0,0.41,0.0
380,15.59,11.37,1046.0,0.29,0.0
381,14.43,16.87,1091.0,0.98,0.0
382,35.23,37.86,986.0,0.51,0.0
383,2.75,3.46,924.0,0.56,0.0
384,7.42,6.59,1095.0,0.01,0.0
385,1.13,0.95,1093.0,0.18,0.0
386,35.15,41.59,1023.0,0.07,0.0
387,17.26,18.01,1056.0,0.56,0.0
388,3.7,2.82,987.0,0.57,0.0
389,31.41,32.36,980.0,0.57,0.0
390,5.27,6.1,1065.0,0.72,0.0
391,23.6,25.1,920.0,0.12,0.0
392,41.92,31.28,1037.0,0.27,0.0
393,44.54,45.6,1022.0,0.18,0.0
394,39.05,32.63,970.0,0.77,3928.0
395,8.07,7.86,1107.0,0.79,0.0
396,27.31,26.84,1042.0,0.38,0.0
397,6.7,8.17,922.0,0.46,0.0
398,14.05,17.68,1076.0,0.14,0.0
399,3.62,2.6,1004.0,0.99,2545.0
400,31.34,36.52,948.0,0.62,0.0
401,35.24,25.09,1006.0,0.48,0.0
402,35.22,35.25,1096.0,0.86,0.0
403,1.06,0.81,1095.0,0.12,0.0
404,23.81,24.37,993.0,0.18,0.0
405,37.18,28.59,943.0,0.62,0.0
406,1.92,1.82,1030.0,1.0,2506.0
407,44.66,51.85,1078.0,0.42,0.0
408,27.6,27.49,934.0,0.78,0.0
409,27.99,21.75,1067.0,0.87,2320.0
410,37.25,37.15,921.0,0.79,0.0
411,13.52,14.5,1017.0,0.93,3944.0
412,25.04,20.2,938.0,0.85,2306.0
413,4.55,4.92,1044.0,0.16,0.0
414,11.49,9.36,976.0,0.37,0.0
415,12.61,9.32,1046.0,0.41,0.0
416,40.49,51.47,1065.0,0.39,0.0
417,0.09,0.1,1003.0,0.78,0.0
418,33.35,28.21,1030.0,0.86,1360.0
419,30.95,30.11,1004.0,0.59,0.0
420,20.95,19.07,1028.0,0.38,0.0
421,30.89,38.4,1003.0,0.61,0.0
422,0.07,0.05,1088.0,0.67,0.0
423,33.84,26.91,1113.0,0.67,0.0
424,33.08,29.01,1100.0,0.23,0.0
425,32.12,29.2,1083.0,0.05,0.0
426,7.9,5.58,938.0,0.7,0.0
427,31.17,32.38,1018.0,0.24,0.0
428,36.25,45.13,1092.0,0.4,0.0
429,4.92,3.66,1053.0,0.65,0.0
430,13.78,14.42,1049.0,0.55,0.0
431,4.78,4.48,987.0,0.47,0.0
432,21.64,23.69,1078.0,0.03,0.0
433,18.05,17.88,1070.0,0.21,0.0
434,13.54,14.47,979.0,0.67,0.0
435,14.52,17.7,974.0,0.5,0.0
436,14.69,12.47,1086.0,0.09,0.0
437,41.62,50.15,1083.0,0.25,0.0
438,31.94,30.35,914.0,0.65,0.0
439,17.09,12.49,1066.0,0.92,3110.0
440,29.53,26.45,1016.0,0.38,0.0
441,20.61,24.76,1074.0,0.1,0.0
442,5.4,5.17,1058.0,0.83,0.0
443,27.94,35.14,1106.0,0.55,0.0
444,38.7,41.14,1010.0,0.75,0.0
445,5.78,4.53,957.0,0.65,0.0
446,20.89,18.61,970.0,0.45,0.0
447,34.43,26.82,936.0,0.28,0.0
448,25.55,24.59,1098.0,0.38,0.0
449,1.06,0.91,921.0,0.08,0.0
450,38.57,43.68,1073.0,0.78,0.0
451,31.21,27.44,992.0,0.54,0.0
452,43.65,55.76,948.0,0.69,0.0
453,5.93,7.5,987.0,0.3,0.0
454,4.25,3.25,979.0,0.99,1003.0
455,12.98,16.59,1062.0,0.45,0.0
456,32.16,30.83,985.0,0.91,3907.0
457,24.29,21.79,939.0,0.53,0.0
458,17.43,19.85,951.0,0.02,0.0
459,1.04,0.97,973.0,0.36,0.0
460,3.69,3.32,1041.0,0.61,0.0
461,22.87,25.08,1108.0,0.2,0.0
462,42.77,53.75,1064.0,0.51,0.0
463,37.58,38.65,988.0,0.04,0.0
464,13.44,10.41,963.0,0.54,0.0
465,29.57,34.45,1027.0,0.54,0.0
466,42.04,35.49,984.0,0.94,3346.0
467,42.36,31.62,1105.0,0.87,283.0
468,10.46,10.13,986.0,0.3,0.0
469,39.73,38.29,1081.0,0.01,0.0
470,39.04,33.21,1060.0,0.78,1480.0
471,25.87,29.35,1050.0,0.74,0.0
472,18.67,22.34,1108.0,0.26,0.0
473,31.92,34.21,922.0,0.78,0.0
474,24.23,20.4,1066.0,0.1,0.0
475,27.98,34.14,938.0,0.4,0.0
476,40.06,40.67,988.0,0.99,2272.0
477,39.73,46.07,975.0,0.77,0.0
478,20.98,26.49,1035.0,0.61,0.0
479,15.42,15.78,1007.0,0.81,0.0
480,10.77,10.07,966.0,0.85,0.0
481,11.65,10.75,1058.0,0.93,1858.0
482,32.57,41.91,934.0,0.08,0.0
483,17.46,19.78,971.0,0.99,3530.0
484,4.9,5.71,1025.0,0.73,0.0
485,15.46,11.66,1078.0,0.93,2094.0
486,14.94,12.32,989.0,0.34,0.0
487,40.24,28.37,960.0,0.17,0.0
488,29.59,36.34,1091.0,0.92,0.0
489,39.16,30.9,959.0,0.25,0.0
490,4.05,5.22,1104.0,0.77,0.0
491,3.21,3.29,1069.0,0.53,0.0
492,5.06,4.96,1084.0,0.0,0.0
493,8.52,9.97,1046.0,0.92,0.0
494,43.3,53.76,948.0,0.05,0.0
495,1.52,1.1,941.0,0.17,0.0
496,26.58,20.52,948.0,0.74,0.0
497,36.57,41.49,1081.0,0.26,0.0
498,33.74,42.38,972.0,0.63,0.0
499,10.97,8.48,1094.0,0.14,0.0
500,34.93,43.95,1095.0,0.3,0.0
501,37.59,32.55,951.0,0.87,560.0
502,28.0,35.61,995.0,0.33,0.0
503,17.9,19.38,1044.0,0.89,0.0
504,22.61,26.15,929.0,0.74,0.0
505,17.93,13.74,1014.0,0.76,0.0
506,15.06,14.61,1095.0,0.34,0.0
507,25.91,19.06,999.0,0.26,0.0
508,24.82,26.0,933.0,0.36,0.0
509,26.91,29.44,954.0,0.13,0.0
510,36.17,42.07,1067.0,0.04,0.0
511,43.16,31.63,1073.0,0.45,0.0
512,43.13,52.99,1013.0,0.64,0.0
513,22.12,28.6,962.0,0.78,0.0
514,34.72,44.62,1112.0,0.72,0.0
515,1.77,1.88,931.0,0.37,0.0
516,11.36,9.8,1022.0,0.23,0.0
517,12.05,14.39,998.0,0.91,0.0
518,42.43,42.02,1111.0,0.4,0.0
519,29.7,32.23,914.0,0.64,0.0
520,9.06,8.2,957.0,0.75,0.0
521,14.55,17.05,1041.0,0.17,0.0
522,29.08,24.6,1062.0,0.83,3967.0
523,15.92,14.83,1034.0,0.5,0.0
524,0.8,1.02,1028.0,0.3,0.0
525,4.93,5.95,953.0,0.52,0.0
526,25.11,25.54,1050.0,0.74,0.0
527,36.19,36.67,1063.0,0.6,0.0
528,25.41,27.53,1062.0,0.27,0.0
529,4.67,4.75,1085.0,0.38,0.0
530,24.23,19.27,957.0,0.3,0.0
531,0.71,0.82,958.0,0.52,0.0
532,35.63,28.66,975.0,0.87,2537.0
533,21.71,25.1,991.0,0.46,0.0
534,5.44,4.64,1008.0,0.78,0.0
535,27.69,33.23,958.0,0.57,0.0
536,9.82,8.76,1044.0,0.92,797.0
537,41.08,38.72,993.0,0.89,2748.0
538,0.53,0.62,953.0,0.52,0.0
539,43.93,48.84,931.0,0.34,0.0
540,35.26,29.18,1010.0,0.11,0.0
541,33.13,28.78,1060.0,0.89,744.0
542,25.96,28.62,1075.0,0.35,0.0
543,6.42,5.97,1022.0,0.73,0.0
544,9.81,9.27,1026.0,0.37,0.0
545,24.73,24.75,1065.0,0.09,0.0
546,24.59,23.07,967.0,0.13,0.0
547,13.12,9.46,1005.0,0.37,0.0
548,19.19,14.59,946.0,0.64,0.0
549,4.03,2.86,995.0,0.23,0.0
550,13.75,11.66,1023.0,0.56,0.0
551,16.13,20.08,1022.0,0.9,0.0
552,4.46,4.87,947.0,0.24,0.0
553,28.58,30.73,1084.0,0.5,0.0
554,1.6,1.53,1087.0,0.15,0.0
555,32.61,31.03,982.0,0.4,0.0
556,29.07,23.3,1025.0,0.17,0.0
557,38.69,42.03,1081.0,0.58,0.0
558,39.14,29.14,950.0,0.39,0.0
559,10.85,12.28,917.0,0.3,0.0
560,25.85,26.03,1109.0,0.45,0.0
561,11.47,10.68,980.0,0.48,0.0
562,27.13,23.31,1098.0,0.09,0.0
563,23.13,24.33,1065.0,0.94,0.0
564,3.06,3.69,921.0,0.32,0.0
565,12.38,12.46,943.0,0.64,0.0
566,27.14,28.4,919.0,0.06,0.0
567,28.16,29.72,1062.0,0.74,0.0
568,25.54,31.96,937.0,0.97,0.0
569,2.88,2.56,1085.0,0.12,0.0
570,21.11,19.02,1044.0,0.4,0.0
571,33.24,35.56,974.0,0.91,0.0
572,19.27,15.47,1018.0,0.36,0.0
573,10.16,10.15,950.0,0.34,0.0
574,35.4,29.07,1022.0,0.81,3432.0
575,30.42,32.19,998.0,0.68,0.0
576,40.91,49.67,1094.0,0.37,0.0
577,35.12,42.37,1096.0,0.84,0.0
578,19.58,24.04,986.0,0.29,0.0
579,23.72,24.74,1016.0,0.57,0.0
580,38.84,49.55,1079.0,0.29,0.0
581,3.86,2.82,960.0,0.56,0.0
582,34.44,34.91,1075.0,0.35,0.0
583,31.26,25.37,1069.0,0.08,0.0
584,39.05,40.54,1070.0,0.83,0.0
585,30.66,22.12,1110.0,0.55,0.0
586,11.15,8.36,947.0,0.3,0.0
587,31.49,31.59,971.0,0.88,0.0
588,38.41,38.14,973.0,0.9,0.0
589,25.65,25.38,1036.0,0.73,0.0
590,24.98,23.18,939.0,0.4,0.0
591,13.13,10.84,938.0,0.37,0.0
592,36.33,28.96,1058.0,0.0,0.0
593,2.73,2.5,1056.0,0.85,0.0
594,41.68,36.97,1083.0,0.99,1527.0
595,1.38,1.26,929.0,0.96,1215.0
596,29.52,34.82,946.0,0.87,0.0
597,18.83,18.49,1054.0,0.05,0.0
598,19.3,23.07,963.0,0.12,0.0
599,8.98,6.93,952.0,0.92,1062.0
600,4.17,3.1,1075.0,0.91,3794.0
601,11.67,12.65,1040.0,0.3,0.0
602,36.23,44.93,1057.0,0.18,0.0
603,39.83,42.9,914.0,0.64,0.0
604,15.66,12.3,1071.0,0.64,0.0
605,41.24,40.88,1042.0,0.13,0.0
606,34.63,35.83,1006.0,0.66,0.0
607,16.45,16.66,1084.0,0.51,0.0
608,15.35,12.07,948.0,0.14,0.0
609,31.46,38.46,1105.0,0.72,0.0
610,29.46,29.83,1030.0,0.68,0.0
611,12.11,9.69,944.0,0.53,0.0
612,29.19,20.98,935.0,0.51,0.0
613,13.3,11.01,947.0,0.54,0.0
614,40.15,38.18,1049.0,0.96,670.0
615,45.06,47.99,921.0,0.94,0.0
